"customer_id","date","rating","reviewText","imageCount","helpfulCount","nonHelpfulCount"
"16746839","4 апреля, 14:12","5","Капри хорошие бренд ношу давно мои параметры от88 об116 размер подошёл 34 отлично сидят свободно моя фигура «груша»",0,"1","0"
"28663610","25 марта, 7:08","5","На мой 48 подошел 28 размер, боялась не налезут. Но сидят очень хорошо, ноги не совсем худые, ткань тянется. Жду лета.",0,"0","0"
"19115697","16 марта, 17:48","4","Качество хорошее - ткань в меру тянется, средней плотности. но покрой не мой. Не взяла",0,"0","0"
"18679878","11 марта, 1:27","5","Зря я не послушала предыдущих покупателей. Штанины широкие, у кого икры полные-берите, вполне достойный выбор.",0,"0","0"
"24726807","21 февраля, 16:22","5","Товаром осталась довольна. На размер 52-54 заказала 33- идеально подошли. Спасибо производителям",0,"0","0"
"14870413","21 февраля, 9:55","5","Очень люблю данного производителя, качество отличное. Заказала двое бридж, 40 и 39 размеры, в 40 утонула, 39 как раз, но тоже свободны, просто не захотела перезаказывать😊, юбку брала 38 размер - она была идеальна по размеру. Надеюсь в носке не подведут.",3,"1","1"
"18149958","14 февраля, 13:38","5","Всё хорошо, иного и не ожидала. Довольна этим бредом и магазином. Ребята, вы лучшие, с наступающими праздниками вас!",0,"0","1"
"14402534","25 августа 2019, 18:03","5","Обожаю эту фирму! Мне нравится все и материал, и пошив, и скромные украшения в виде стразиков. Короче я очень довольна покупкой.",0,"3","1"
"4052942","25 августа 2019, 12:12","5","У этой фирмы качество всегда хорошее, размер подошёл, спасибо",0,"2","2"
"3978896","7 августа 2019, 15:43","5","Да, штанишки хотелось чуть тоньше, но за эти деньги 1300 и эти прекрасные. Не просвечивают. Нарядные. На 48-50 раз. подошел 29. Низ действительно широковат. Но и цена такая. Хорошая покупка.",0,"4","0"
"4301952","6 августа 2019, 18:27","5","Белые джинсовые капри. Джинса оказалась толстовата, ожидала, что будет потоньше, взяла, надеюсь жарко не будет. Внизу широковаты, топорщатся, на фото этого не видно. В целом понравились, взяла, размер соответствует.",0,"3","1"
"4027294","5 августа 2019, 17:24","2","Интересно, те, кто указывает размерную сетку на сайте, вы само изделие хоть в руки брали? Заказала 25 размер. Мои ОТ 71 см, ОБ 98 см, по идее, 25 размер должен быть впору... Но нет, на самих капри висит бирка, что ОТ 63 см! Естественно, не застегнулись... Уважаемые сотрудники, не вводите покупателей в заблуждение!",0,"4","0"
"5167160","26 июля 2019, 18:21","5","На ОБ/ОТ 110/77 размер 32 при примерке был нормальным, но в носке растянулись, что теперь хожу и подтягиваю их постоянно. Думаю взять 31 размер.",0,"2","2"
"6392727","24 июля 2019, 9:30","5","Очень мнутся. У меня работа ""сидячая"", да еще люблю с ногами на стул забраться - к концу дня брюки становятся просто ""жеванными""",0,"3","0"
"8032604","29 июня 2019, 14:14","5","Хорошие джинсы. Размер соответствует, цвет ярко белый.",0,"4","0"
"8479854","25 июня 2019, 10:01","5","Штанишки супер, садятся замечателно, очень удобные , довольна покупкой",0,"3","0"
"14256251","23 июня 2019, 14:21","5","Классные брючки",0,"0","0"
"17907702","22 июня 2019, 18:30","4","Думала большемерит- взяла поменьше. На бедра 106 28 еле втиснулась. Обычно ношу 30. Вывод- идёт в размер",0,"3","1"
"6060626","19 июня 2019, 13:13","5","Отличные капри! Давно такие искала! Белоснежные, высокая посадка,а как сшиты!Единственный минус -стразики на разрезах по бокам брючин, портят и простят. Но каморки очень хороши! Рекомендую!",0,"4","0"
"6052507","7 июня 2019, 14:02","5","Прекрасные. Если закрыть глаза на стразы. И оочень большемерят. На мои ОБ 124 взяла 40 размер. Очень велики. В икрах наоборот в обтяг.",0,"2","0"
